,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Novocheremshansk,0,RU,1562260370,82,54.35,50.17,55.13,7.02
377,Tilichiki,39,RU,1562260371,87,60.47,166.1,50.45,0.81
378,La Asuncion,58,AR,1562260372,59,-26.05,-65.39,49.91,6.51
379,Harper,90,US,1562260373,69,30.3,-99.24,80.6,17.22
380,Tres Arroyos,93,AR,1562260374,65,-38.38,-60.28,43.61,20.11
381,Jiazi,0,CN,1562260375,83,19.61,110.49,80.6,6.71
382,Talara,20,PE,1562260241,290,-4.58,-81.27,62.6,17.22
383,Guiberoua,100,CI,1562260268,96,6.24,-6.17,76.19,4.34
384,Yerbogachen,71,RU,1562260379,56,61.28,108.01,61.61,8.79
385,Portland,75,US,1562260363,33,43.66,-70.25,90.0,3.36
386,Hervey Bay,40,AU,1562260381,87,-25.3,152.85,63.0,9.17
387,Rundu,6,NA,1562260382,20,-17.91,19.77,77.0,3.36
388,Hisai,20,JP,1562260383,83,34.67,136.47,73.4,4.7
389,Torrington,90,US,1562260384,72,42.06,-104.18,68.0,9.17
390,Krasnoye,40,RU,1562260385,74,44.87,39.46,80.01,4.47
391,Bandarbeyla,9,SO,1562260387,54,9.49,50.81,81.59,24.76
392,Rodrigues Alves,75,BR,1562260388,59,-7.74,-72.65,89.6,5.82
393,Yabelo,85,ET,1562260389,63,4.89,38.09,65.57,7.36
394,Shintomi,85,JP,1562260390,97,32.08,131.47,65.75,2.33
395,Tomatlan,0,MX,1562260188,54,19.93,-105.25,86.99,6.67
396,Okhotsk,100,RU,1562260392,97,59.36,143.24,47.21,9.69
397,Sangamner,100,IN,1562260393,87,19.57,74.2,73.13,9.19
398,Sangar,100,RU,1562260395,64,63.92,127.47,51.53,1.54
399,Callaguip,1,PH,1562260396,80,18.07,120.49,84.11,14.88
400,Biak,100,ID,1562260397,98,-0.91,122.88,63.59,3.31
401,Tiznit,0,MA,1562260398,83,29.7,-9.73,67.19,15.79
402,Kaka,0,TM,1562260399,14,37.35,59.62,86.81,3.47
403,Bahia Honda,94,CU,1562260400,71,22.9,-83.16,84.65,10.94
404,Lorengau,68,PG,1562260401,81,-2.02,147.27,77.99,2.68
405,Kefamenanu,0,ID,1562260402,63,-9.45,124.48,62.33,3.8
406,Juegang,100,CN,1562260404,82,32.31,121.18,77.0,4.54
407,Kouroussa,96,GN,1562260405,79,10.65,-9.88,82.67,4.32
408,Camargo,94,MX,1562260406,28,27.69,-105.17,87.53,4.47
409,Skibbereen,40,IE,1562260407,68,51.55,-9.27,69.8,5.82
410,Kibala,40,TD,1562260408,59,9.11,18.35,89.6,4.7
411,Noyabrsk,46,RU,1562260256,88,63.2,75.45,66.11,1.32
412,Kirkenaer,75,NO,1562260411,66,60.46,12.06,55.4,13.87
413,Bathsheba,40,BB,1562260412,79,13.22,-59.52,84.2,25.28
414,Hun,15,BE,1562260413,46,50.34,4.87,77.0,5.82
415,Fare,97,PF,1562260414,76,-16.7,-151.02,74.39,30.89
416,Itarema,14,BR,1562260415,63,-2.92,-39.92,85.55,11.48
417,Patamundai,85,IN,1562260416,74,20.57,86.57,85.01,10.92
418,Saga,89,JP,1562260418,94,33.26,130.3,72.0,3.36
419,Klaksvik,100,FO,1562260419,93,62.23,-6.59,50.0,12.75
420,Saint-Georges,6,CA,1562260378,47,46.12,-70.67,86.0,7.0
421,Port Hawkesbury,1,CA,1562260421,64,45.62,-61.36,79.0,16.11
422,Axim,100,GH,1562260422,87,4.87,-2.24,77.27,11.65
423,Casablanca,0,MA,1562260270,61,33.6,-7.62,78.8,13.87
424,Murray Bridge,0,AU,1562260424,92,-35.12,139.28,51.01,1.01
425,Carbonia,0,IT,1562260425,66,39.17,8.53,89.6,12.75
426,Narwar,100,IN,1562260427,55,25.64,77.91,90.05,8.5
427,Mabaruma,64,GY,1562260428,88,8.2,-59.78,82.49,3.78
428,Lyangasovo,65,RU,1562260429,89,58.52,49.45,50.81,8.72
429,Flinders,40,AU,1562260430,100,-34.58,150.85,60.01,6.93
430,Russell,40,US,1562260377,65,38.9,-98.86,84.99,19.46
431,Bonthe,99,SL,1562260432,86,7.53,-12.5,78.89,11.01
432,Mayumba,57,GA,1562260433,90,-3.44,10.65,72.41,8.41
433,Joura,99,IN,1562260434,36,26.34,77.81,97.97,0.92
434,Mountain Home,75,US,1562260436,40,43.13,-115.69,68.0,13.87
435,Tuatapere,61,NZ,1562260437,95,-46.13,167.69,41.0,1.01
436,Gweta,0,BW,1562260438,26,-20.21,25.26,68.45,8.7
437,Pio IX,21,BR,1562260439,42,-6.83,-40.61,88.97,5.88
438,Ancud,40,CL,1562260440,81,-41.87,-73.83,46.4,2.24
439,Abu Dhabi,5,AE,1562260170,47,24.47,54.37,96.8,9.17
440,Barsovo,0,RU,1562260442,83,61.17,73.17,69.8,6.71
441,Hualmay,91,PE,1562260444,81,-11.1,-77.61,62.51,11.25
442,Brewster,1,US,1562260445,45,41.76,-70.08,87.01,6.93
443,Halifax,20,CA,1562260239,51,44.65,-63.58,84.0,11.41
444,Kavieng,100,PG,1562260447,69,-2.57,150.8,83.93,8.66
445,Hambantota,99,LK,1562260448,84,6.12,81.12,82.67,13.56
446,Waingapu,5,ID,1562260449,90,-9.65,120.26,65.57,7.72
447,Wanning,12,AT,1562260450,30,48.64,13.53,80.6,4.7
448,Tezu,96,IN,1562260451,79,27.93,96.16,78.53,1.95
449,Minot,1,US,1562260240,53,48.23,-101.3,73.0,5.82
450,Padang,83,ID,1562260454,81,-0.92,100.36,83.03,9.69
451,San Cristobal,0,HN,1562260455,26,14.68,-86.92,85.91,12.3
452,Slatina,40,HR,1562260456,60,45.7,17.7,73.4,2.24
453,Chicama,90,PE,1562260457,72,-7.84,-79.15,68.0,5.82
454,Guane,75,CU,1562260458,70,22.2,-84.09,85.01,9.64
455,Basco,20,US,1562260459,74,40.33,-91.2,84.0,6.93
456,Charlestown,1,US,1562260374,51,41.38,-71.64,91.99,5.82
457,Olinda,0,AU,1562260462,93,-37.84,145.39,46.0,5.82
458,Palmer,0,AU,1562260463,92,-34.85,139.16,51.01,6.51
459,Wawa,83,NG,1562260464,67,9.9,4.41,82.31,4.18
460,Soe,35,EE,1562260465,44,57.91,26.05,60.8,13.87
461,Bilma,56,NE,1562260466,24,18.69,12.92,97.43,14.45
462,Fresnillo,40,MX,1562260467,63,23.17,-102.87,66.2,6.93
463,Kavaratti,100,IN,1562260468,78,10.57,72.64,83.93,17.47
464,The Valley,20,AI,1562260470,58,18.22,-63.06,88.0,16.11
465,Zlobin,0,HR,1562260471,39,45.29,14.65,84.99,12.75
466,Pangoa,81,PE,1562260472,66,-12.12,-73.0,82.31,1.1
467,Burnie,5,AU,1562260473,72,-41.05,145.91,50.0,4.0
468,Santa Cruz,29,BR,1562260466,49,-6.22,-36.02,85.19,9.89
469,Aguimes,20,ES,1562260475,60,27.91,-15.45,77.0,28.86
470,Ekhabi,4,RU,1562260476,95,53.51,142.97,46.13,17.47
471,Shimanovsk,100,RU,1562260478,98,52.0,127.67,53.33,8.32
472,Meybod,20,IR,1562260479,12,32.25,54.02,102.2,6.93
473,Comarapa,0,BO,1562260480,34,-17.91,-64.53,75.83,7.29
474,Oranjemund,0,ZA,1562260481,91,-28.55,16.43,56.57,11.81
475,Marystown,96,CA,1562260482,77,47.17,-55.16,55.31,10.02
476,Novomichurinsk,19,RU,1562260483,79,54.04,39.74,53.33,8.79
477,Port Blair,100,IN,1562260484,82,11.67,92.75,83.93,21.23
478,Moranbah,100,AU,1562260486,94,-22.0,148.04,58.37,22.46
479,Estelle,0,FR,1562260487,62,43.97,3.47,87.01,10.29
480,Buttelborn,0,DE,1562260488,26,49.9,8.52,82.99,6.93
481,Vaitape,100,PF,1562260489,77,-16.52,-151.75,75.47,31.92
482,Comodoro Rivadavia,20,AR,1562260490,60,-45.87,-67.48,41.0,1.12
483,Nouadhibou,0,MR,1562260491,61,20.93,-17.03,77.0,19.46
484,Katsuura,20,JP,1562260492,88,33.93,134.5,73.4,1.12
485,Xining,53,CN,1562260494,53,36.62,101.77,55.85,2.01
486,Bondoukou,100,CI,1562260495,92,8.04,-2.8,77.45,2.04
487,Tygda,19,RU,1562260496,77,53.11,126.33,45.59,5.66
488,La Ronge,90,CA,1562260455,62,55.1,-105.3,59.0,13.87
489,Mocorito,58,MX,1562260498,52,25.48,-107.92,96.01,3.0
490,Golovchino,0,RU,1562260499,34,50.53,35.8,68.0,13.42
491,Wittmund,75,DE,1562260500,56,53.58,7.78,71.01,18.34
492,Belaya Gora,100,RU,1562260502,78,68.54,146.19,48.29,7.78
493,Yingkou,100,CN,1562260503,72,40.67,122.24,74.21,11.74
494,Aklavik,90,CA,1562260504,93,68.22,-135.01,57.2,10.29
495,Tak Bai,75,TH,1562260505,94,6.26,102.05,82.4,4.41
496,Salto de Agua,90,CL,1562260506,93,-34.61,-71.45,42.8,10.29
497,Usogorsk,93,RU,1562260507,70,63.43,48.71,59.81,3.11
498,Sangin,0,AF,1562260509,10,32.07,64.85,81.23,1.19
499,Bambanglipuro,53,ID,1562260510,85,-7.95,110.28,76.55,9.01
500,Port Hardy,90,CA,1562260511,87,50.7,-127.42,57.2,8.05
501,Conceicao do Araguaia,44,BR,1562260338,28,-8.26,-49.26,97.25,2.57
502,Savalou,89,BJ,1562260513,93,7.93,1.98,74.75,10.42
503,Fallon,90,US,1562260514,93,46.84,-105.12,55.4,6.93
504,Phalombe,0,MW,1562260515,83,-15.81,35.65,55.13,5.55
505,Cockburn Town,40,TC,1562260517,66,21.46,-71.14,86.0,11.41
506,Algiers,40,US,1562260518,55,29.94,-90.04,93.0,9.17
507,Chowchilla,5,US,1562260519,44,37.12,-120.26,79.0,9.17
508,Altus,1,US,1562260520,55,34.64,-99.33,90.0,11.41
509,Banda Aceh,100,ID,1562260521,73,5.56,95.32,84.29,8.52
510,Smithers,90,CA,1562260522,93,54.78,-127.17,57.2,2.24
511,Jefferson City,20,US,1562260270,66,38.58,-92.17,88.0,9.17
512,Haikou,0,CN,1562260524,83,20.04,110.34,80.6,6.71
513,Sibay,51,RU,1562260526,88,52.72,58.67,58.91,6.33
514,Sabang,22,PH,1562260527,91,13.8,121.11,72.77,0.94
515,Hasaki,75,JP,1562260528,94,35.73,140.83,68.0,10.29
516,Gohana,6,IN,1562260529,34,29.14,76.7,99.23,8.46
517,Ust-Nera,100,RU,1562260530,88,64.57,143.24,41.27,2.19
518,Deputatskiy,94,RU,1562260531,85,69.3,139.9,42.17,3.85
519,Camopi,32,GF,1562260532,78,3.17,-52.33,82.49,3.94
520,Montague,75,CA,1562260534,73,46.17,-62.65,78.01,11.41
521,Bonavista,100,CA,1562260535,84,48.65,-53.11,52.0,4.0
522,Maceio,40,BR,1562260274,62,-9.67,-35.74,84.2,9.17
523,Hare Bay,90,CA,1562260537,93,48.86,-53.99,54.0,9.17
524,Sao Jose da Coroa Grande,50,BR,1562260538,81,-8.9,-35.15,79.61,6.98
525,Labytnangi,33,RU,1562260539,77,66.66,66.39,63.95,4.76
526,Raghogarh,100,IN,1562260540,83,24.45,77.19,80.51,13.91
527,Chaoyang,100,CN,1562260542,45,41.58,120.44,73.67,7.38
528,Springfield,40,US,1562260271,33,42.1,-72.59,93.0,4.18
529,Siderno,20,IT,1562260544,70,38.28,16.3,86.0,5.82
530,Buin,32,CL,1562260545,54,-33.73,-70.74,70.0,2.24
531,Opuwo,0,NA,1562260546,27,-18.06,13.84,62.15,7.14
532,Cape Canaveral,1,US,1562260352,79,28.41,-80.6,95.0,10.29
533,Codrington,75,AU,1562260548,93,-28.95,153.24,64.4,4.7
534,Newport,82,GB,1562260549,46,51.59,-3.0,78.01,5.82
535,Laela,77,TZ,1562260550,54,-8.57,32.05,62.33,6.24
536,Puerto Colombia,0,CO,1562260552,62,10.99,-74.96,87.8,8.05
537,Gornopravdinsk,21,RU,1562260553,89,60.06,69.92,59.45,2.71
538,Bucerias,5,MX,1562260545,40,20.76,-105.33,87.01,7.87
539,Sapulpa,90,US,1562260383,66,36.0,-96.11,88.0,12.75
540,Sur,4,OM,1562260556,63,22.57,59.53,85.37,13.98
541,San Ramon,40,NI,1562260557,57,12.92,-85.84,77.0,4.7
542,Kargil,85,PK,1562260558,69,34.56,76.13,47.75,1.54
543,Katangli,100,RU,1562260559,97,51.71,143.23,45.41,9.08
544,Talnakh,0,RU,1562260561,63,69.49,88.39,64.4,15.66
545,Oussouye,75,SN,1562260562,59,12.49,-16.54,93.2,9.17
546,Yantal,0,RU,1562260563,56,56.85,105.25,51.53,1.83
547,Viedma,64,AR,1562260316,64,-40.81,-62.99,43.97,19.8
548,Ornes,0,FR,1562260565,24,49.25,5.47,82.4,6.93
549,Erenhot,83,CN,1562260566,61,43.65,111.97,68.99,7.4
550,Uvinza,1,TZ,1562260567,63,-5.1,30.39,67.37,3.22
551,Teguise,20,ES,1562260569,54,29.06,-13.56,78.8,16.11
552,Colomi,0,BO,1562260570,22,-17.34,-65.87,77.0,5.82
553,Alihe,100,CN,1562260571,94,50.57,123.73,49.55,3.13
554,Zomin,0,UZ,1562260572,23,39.96,68.4,78.35,5.23
555,Cabra,0,ES,1562260573,38,37.47,-4.43,91.4,10.29
556,Eganville,20,CA,1562260574,65,45.54,-77.1,87.01,4.7
557,Itaituba,40,BR,1562260575,55,-4.26,-55.99,91.4,4.7
558,Saint-Francois,0,FR,1562260577,33,46.42,3.91,87.8,6.93
559,Te Anau,65,NZ,1562260412,84,-45.41,167.72,37.49,3.76
560,Krasnovishersk,61,RU,1562260579,93,60.4,57.08,55.13,4.29
561,Campoverde,75,EC,1562260580,62,-0.91,-78.62,60.8,14.99
562,Turukhansk,0,RU,1562260581,63,65.8,87.96,69.53,7.36
563,Iberia,0,PE,1562260582,39,-11.41,-69.49,91.85,5.84
564,Sambava,90,MG,1562260583,88,-14.27,50.17,68.09,2.15
565,Jimenez,40,PA,1562260584,70,8.54,-82.37,86.0,13.87
566,Huazhou,100,CN,1562260586,90,21.65,110.64,80.33,4.54
567,Ouadda,43,CF,1562260587,93,8.07,22.4,71.15,2.8
568,Paita,20,PE,1562260588,290,-5.09,-81.11,62.6,17.22
569,Colares,20,PT,1562260589,77,38.8,-9.45,71.6,9.17
570,Lola,71,GN,1562260590,79,7.8,-8.53,79.61,2.89
571,Houma,0,CN,1562260591,50,35.63,111.36,73.67,2.71
572,Kourou,20,GF,1562260593,74,5.16,-52.64,84.2,11.41
573,Tarko-Sale,38,RU,1562260375,66,64.92,77.78,75.99,10.71
574,Ucluelet,90,CA,1562260382,87,48.94,-125.55,63.0,4.7
575,Teguldet,61,RU,1562260596,97,57.31,88.17,59.27,3.51
576,Matara,63,BI,1562260597,80,-3.48,29.48,52.61,0.31
577,Bilibino,98,RU,1562260598,73,68.06,166.44,46.49,2.62
578,Canala,68,NC,1562260599,93,-21.52,165.96,64.4,1.81
